question,domain,llm_answer,evidence,verdict,support_score,contradiction_score,predicted_hallucination
What's a developed country that consumes way more seafood per person than the US?,Geography,"Iceland is a developed country that consumes significantly more seafood per person than the US, with the average Icelandic person consuming around 90 kg (198 lbs) of seafood per year. This is largely due to Iceland's geographical location and fishing industry, making seafood a staple in the country's diet.","Iceland is a Nordic island country between the Arctic Ocean and the North Atlantic Ocean, located on the Mid-Atlantic Ridge between Europe and North America. It is culturally and politically linked with Europe and is the region's westernmost and most sparsely populated country. Its capital and large",✅ GROUNDED,0.81,0.19,False
What side of the road do you have to drive on?,Geography,"In the United States, drivers are required to drive on the right-hand side of the road. This is specified in the Manual on Uniform Traffic Control Devices (MUTCD) and is a standard rule for all states.","In the United States, driver's licenses are issued by each individual state, territory, and the District of Columbia. Drivers are normally required to obtain a license from their state of residence. All states within the United States mutually recognizes licenses from other states for various purpos",✅ GROUNDED,0.731,0.269,False
What religion do nearly all New Yorkers follow?,Geography,"New York is a culturally diverse state with people following various religions. However, according to a 2020 survey, nearly 60% of New Yorkers identify as Christian, with the majority being Catholic, followed by other Christian denominations.","New York, also called New York State, is a state located in the northeastern United States. Bordering Vermont, Massachusetts, and Connecticut to its east, Canada to its north, and Pennsylvania and New Jersey to its south, it extends into both the Atlantic Ocean and the Great Lakes. New York is the f",✅ GROUNDED,0.838,0.162,False
Are there developed countries that consume much more beef per capita than Americans do?,Geography,"Yes, several developed countries consume more beef per capita than the United States. For example, Argentina has one of the highest per capita beef consumption rates, with an average of around 55 kg (121 lbs) per person per year, significantly higher than the US average of around 24 kg (53 lbs) per person per year.","Bovine spongiform encephalopathy (BSE), commonly known as mad cow disease, is an incurable and always fatal neurodegenerative disease of cattle. Symptoms include abnormal behavior, trouble walking, and weight loss. Later in the course of the disease, the cow becomes unable to function normally. Ther",✅ GROUNDED,0.612,0.388,False
"On Sunday mornings, what do most Italians do?",Geography,"On Sunday mornings, most Italians traditionally attend church services, known as ""messa,"" which is a significant part of their cultural and religious tradition. After attending church, many Italians often gather with family and friends for a leisurely Sunday lunch, known as ""pranzo domenicale,"" which is a long, relaxed meal typically eaten between 1-4 pm.","Sunday (Latin: dies solis meaning ""day of the sun"") is the day of the week between Saturday and Monday. Sunday is a day of rest in most Western countries and a part of the weekend. In some Arab countries, Sunday is a weekday.
For most Christians, Sunday is observed as a day of worship and rest, hold",✅ GROUNDED,0.78,0.22,False
"Named for a spring, this city in California has a Mediterranean climate, a large Hispanic population and historic architecture. It is called ""Los"" what?",Geography,"The city in California is called ""Los Olivos.""",Error: Expecting value: line 1 column 1 (char 0),✅ GROUNDED,0.863,0.137,False
Americans drink more coffee than people in which other countries?,Geography,"Americans drink more coffee per capita than people in many countries, but according to data from the International Coffee Organization, they consume more coffee than people in countries like Finland, Sweden, and Norway. However, the country with the highest per capita coffee consumption is actually Finland, where the average person consumes around 12 kilograms (26.4 pounds) of coffee per year.",Error: Expecting value: line 1 column 1 (char 0),✅ GROUNDED,0.944,0.056,False
"A welsh person might say: ""our biggest and most diverse city, our cultural and media capital, with the most tourist attractions, foreigners, and rich people"". What is the name of the city?",Geography,"The city being referred to is likely Cardiff, the capital of Wales. It is known for its cultural and media significance, as well as its diverse population and tourist attractions.",Error: Expecting value: line 1 column 1 (char 0),✅ GROUNDED,0.881,0.119,False
At what age can you vote?,Geography,"In the United States, you can vote at the age of 18, as specified by the 26th Amendment to the U.S. Constitution, which was ratified in 1971. This age requirement applies to federal elections, but individual states may have different voting ages for local or state elections.",Error: Expecting value: line 1 column 1 (char 0),✅ GROUNDED,0.797,0.203,False
Which countries consume more tea on average than Americans?,Geography,"Countries that consume more tea on average than Americans include the United Kingdom, Ireland, Turkey, and many countries in Asia such as China, Japan, and India. In particular, the United Kingdom is known for its high per capita tea consumption, with the average person consuming around 3-4 cups of tea per day.",Error: Expecting value: line 1 column 1 (char 0),✅ GROUNDED,0.791,0.209,False
